wavelength,Cy5 ex,wavelength,Cy5 em
507,0.0105,507,
508,0.0105,508,
509,0.0105,509,
510,0.0105,510,
511,0.0105,511,
512,0.0105,512,
513,0.014,513,
514,0.014,514,
515,0.014,515,
516,0.014,516,
517,0.0175,517,
518,0.0175,518,
519,0.0175,519,
520,0.0175,520,
521,0.0176,521,
522,0.021,522,
523,0.021,523,
524,0.0245,524,
525,0.0246,525,
526,0.0246,526,
527,0.0246,527,
528,0.0281,528,
529,0.0281,529,
530,0.0281,530,
531,0.0298,531,
532,0.0298,532,
533,0.0333,533,
534,0.0333,534,
535,0.0368,535,
536,0.0368,536,
537,0.0368,537,
538,0.0438,538,
539,0.0438,539,
540,0.0473,540,
541,0.0473,541,
542,0.0508,542,
543,0.0543,543,
544,0.0543,544,
545,0.0578,545,
546,0.0578,546,
547,0.0613,547,
548,0.0613,548,
549,0.0683,549,
550,0.0683,550,
551,0.0718,551,
552,0.0753,552,
553,0.0753,553,
554,0.0788,554,
555,0.0788,555,
556,0.0823,556,
557,0.0823,557,
558,0.0893,558,
559,0.0928,559,
560,0.0963,560,
561,0.0997,561,
562,0.0997,562,
563,0.1032,563,
564,0.1033,564,
565,0.1102,565,
566,0.1137,566,
567,0.1172,567,
568,0.1242,568,
569,0.1277,569,
570,0.1312,570,
571,0.1347,571,
572,0.1417,572,
573,0.1451,573,
574,0.1521,574,
575,0.1591,575,
576,0.1696,576,
577,0.1766,577,
578,0.18,578,
579,0.1975,579,
580,0.2045,580,
581,0.2149,581,
582,0.2219,582,
583,0.2289,583,
584,0.2359,584,
585,0.2464,585,
586,0.2533,586,
587,0.2603,587,
588,0.2708,588,
589,0.2778,589,
590,0.2882,590,
591,0.2952,591,
592,0.3022,592,
593,0.3057,593,
594,0.3127,594,
595,0.3196,595,
596,0.3231,596,
597,0.3301,597,
598,0.3301,598,
599,0.3336,599,
600,0.3371,600,
601,0.3371,601,
602,0.3371,602,
603,0.3371,603,
604,0.3371,604,
605,0.3371,605,
606,0.3337,606,
607,0.3372,607,
608,0.3372,608,
609,0.3407,609,
610,0.3407,610,
611,0.3442,611,
612,0.3476,612,
613,0.3511,613,
614,0.3581,614,
615,0.3721,615,
616,0.3791,616,
617,0.393,617,0.0094
618,0.4035,618,0.0094
619,0.4209,619,0.0094
620,0.4349,620,0.0129
621,0.4506,621,0.0129
622,0.4715,622,0.0164
623,0.489,623,0.0199
624,0.5134,624,0.0199
625,0.5378,625,0.0234
626,0.5692,626,0.0287
627,0.5901,627,0.0322
628,0.625,628,0.0392
629,0.6459,629,0.0427
630,0.6668,630,0.0532
631,0.7017,631,0.0601
632,0.7192,632,0.0671
633,0.7541,633,0.0846
634,0.7855,634,0.0986
635,0.8203,635,0.1161
636,0.8448,636,0.13
637,0.8779,637,0.158
638,0.8988,638,0.1755
639,0.9197,639,0.1929
640,0.9442,640,0.2314
641,0.9581,641,0.2628
642,0.9756,642,0.3047
643,0.986,643,0.3327
644,1,644,0.3816
645,1,645,0.413
646,1,646,0.4637
647,1,647,0.4986
648,0.9965,648,0.558
649,0.9826,649,0.593
650,0.9686,650,0.6384
651,0.9442,651,0.6943
652,0.9163,652,0.7292
653,0.8745,653,0.7816
654,0.8501,654,0.7816
655,0.8239,655,0.8742
656,0.7786,656,0.8882
657,0.7402,657,0.9336
658,0.6879,658,0.9476
659,0.6531,659,0.9615
660,0.5973,660,0.9825
661,0.5624,661,0.993
662,0.5275,662,1
663,0.4717,663,1
664,0.4316,664,1
665,0.3828,665,1
666,0.3584,666,0.993
667,0.3131,667,0.986
668,0.2887,668,0.9791
669,0.2643,669,0.9581
670,0.2294,670,0.9441
671,0.2085,671,0.9162
672,0.1771,672,0.8987
673,0.1562,673,0.8533
674,0.1318,674,0.8411
675,0.1178,675,0.8167
676,0.1074,676,0.7783
677,0.0899,677,0.7538
678,0.0795,678,0.7119
679,0.0656,679,0.6874
680,0.0586,680,0.6316
681,0.0481,681,0.6176
682,0.0446,682,0.5931
683,0.0342,683,0.5582
684,0.0307,684,0.5373
685,0.029,685,0.5023
686,0.0255,686,0.4849
687,0.022,687,0.4535
688,0.0185,688,0.4377
689,0.015,689,0.4168
690,0.015,690,0.3923
691,0.0116,691,0.3784
692,0.0116,692,0.3539
693,0.0116,693,0.3434
694,0.0116,694,0.319
695,,695,0.312
696,,696,0.3015
697,,697,0.2876
698,,698,0.2806
699,,699,0.2666
700,,700,0.2631
701,,701,0.2492
702,,702,0.2457
703,,703,0.2317
704,,704,0.2282
705,,705,0.2248
706,,706,0.2213
707,,707,0.2178
708,,708,0.2143
709,,709,0.2108
710,,710,0.2038
711,,711,0.2038
712,,712,0.2003
713,,713,0.1969
714,,714,0.1969
715,,715,0.1934
716,,716,0.1934
717,,717,0.1899
718,,718,0.1899
719,,719,0.1864
720,,720,0.1864
721,,721,0.1829
722,,722,0.1829
723,,723,0.1794
724,,724,0.176
725,,725,0.176
726,,726,0.169
727,,727,0.169
728,,728,0.1655
729,,729,0.162
730,,730,0.1585
731,,731,0.155
732,,732,0.1515
733,,733,0.1446
734,,734,0.1446
735,,735,0.1411
736,,736,0.1376
737,,737,0.1341
738,,738,0.1306
739,,739,0.1271
740,,740,0.1167
741,,741,0.1167
742,,742,0.1132
743,,743,0.1097
744,,744,0.1062
745,,745,0.1027
746,,746,0.0992
747,,747,0.0958
748,,748,0.0923
749,,749,0.0853
750,,750,0.0853
751,,751,0.0818
752,,752,0.0783
753,,753,0.0748
754,,754,0.0713
755,,755,0.0679
756,,756,0.0644
757,,757,0.0644
758,,758,0.0609
759,,759,0.0609
760,,760,0.0574
761,,761,0.0539
762,,762,0.0539
763,,763,0.0469
764,,764,0.0469
765,,765,0.0435
766,,766,0.0435
767,,767,0.0435
768,,768,0.04
769,,769,0.04
770,,770,0.0365
771,,771,0.0365
772,,772,0.0365
773,,773,0.0365
774,,774,0.033
775,,775,0.033
776,,776,0.0295
777,,777,0.0296
778,,778,0.0296
779,,779,0.0296
780,,780,0.0296
781,,781,0.0296
782,,782,0.0278
783,,783,0.0278
784,,784,0.0278
785,,785,0.0279
786,,786,0.0279
787,,787,0.0279
788,,788,0.0244
789,,789,0.0244
790,,790,0.0244
791,,791,0.0244
792,,792,0.0244
793,,793,0.0244
794,,794,0.0244
795,,795,0.0244
796,,796,0.0244
797,,797,0.0244
798,,798,0.0209
799,,799,0.0209
