wavelength,DAPI ex,wavelength,DAPI em
300,0.2507,300,
301,0.2537,301,
302,0.2574,302,
303,0.2617,303,
304,0.2673,304,
305,0.2741,305,
306,0.2818,306,
307,0.2904,307,
308,0.301,308,
309,0.3122,309,
310,0.3252,310,
311,0.3408,311,
312,0.3575,312,
313,0.3758,313,
314,0.3963,314,
315,0.4176,315,
316,0.439,316,
317,0.4612,317,
318,0.4857,318,
319,0.5091,319,
320,0.5333,320,
321,0.5565,321,
322,0.5803,322,
323,0.6034,323,
324,0.627,324,
325,0.6498,325,
326,0.6714,326,
327,0.6928,327,
328,0.7133,328,
329,0.738,329,
330,0.7559,330,
331,0.7728,331,
332,0.7904,332,
333,0.8068,333,
334,0.8201,334,
335,0.8351,335,
336,0.8461,336,
337,0.8593,337,
338,0.8702,338,
339,0.8823,339,
340,0.8913,340,
341,0.9006,341,
342,0.9118,342,
343,0.9197,343,
344,0.9285,344,
345,0.9372,345,
346,0.9448,346,
347,0.9511,347,
348,0.9586,348,
349,0.9649,349,
350,0.9709,350,
351,0.9754,351,
352,0.9799,352,
353,0.9849,353,
354,0.9878,354,
355,0.9918,355,
356,0.9949,356,
357,0.9975,357,
358,0.9993,358,
359,1,359,
360,0.9982,360,
361,0.9957,361,
362,0.9928,362,
363,0.9874,363,
364,0.9802,364,
365,0.9717,365,
366,0.9615,366,
367,0.9486,367,
368,0.9372,368,
369,0.9214,369,
370,0.9073,370,
371,0.8913,371,
372,0.8735,372,
373,0.8545,373,
374,0.8377,374,
375,0.8176,375,0.0031
376,0.7982,376,0.0038
377,0.7766,377,0.0044
378,0.7556,378,0.0044
379,0.7323,379,0.0044
380,0.7115,380,0.0048
381,0.6871,381,0.0061
382,0.6616,382,0.0067
383,0.6356,383,0.0076
384,0.6054,384,0.0089
385,0.5701,385,0.0108
386,0.5399,386,0.0127
387,0.5095,387,0.0149
388,0.4778,388,0.0171
389,0.4465,389,0.0215
390,0.415,390,0.0253
391,0.3839,391,0.0301
392,0.3522,392,0.0361
393,0.3225,393,0.0421
394,0.2933,394,0.052
395,0.2652,395,0.0596
396,0.2397,396,0.0699
397,0.2155,397,0.0821
398,0.1926,398,0.0933
399,0.1713,399,0.1029
400,0.1524,400,0.1181
401,0.1343,401,0.1306
402,0.1188,402,0.145
403,0.1036,403,0.1612
404,0.0904,404,0.1802
405,0.079,405,0.1983
406,0.0689,406,0.2167
407,0.0594,407,0.2397
408,0.0507,408,0.2576
409,0.0445,409,0.2785
410,0.0385,410,0.2988
411,0.0324,411,0.3134
412,0.0288,412,0.3374
413,0.025,413,0.3569
414,0.0213,414,0.3764
415,0.0181,415,0.3988
416,0.0156,416,0.4186
417,0.0134,417,0.445
418,0.011,418,0.4621
419,0.0092,419,0.4861
420,0.0076,420,0.5092
421,0.0068,421,0.5323
422,0.0059,422,0.5548
423,0.0053,423,0.5735
424,0.0048,424,0.5876
425,0.0035,425,0.6119
426,0.0033,426,0.628
427,0.0025,427,0.6488
428,0.0022,428,0.671
429,0.0015,429,0.6965
430,0.0013,430,0.7132
431,0.0011,431,0.7378
432,0.0004,432,0.7506
433,0,433,0.7714
434,,434,0.7905
435,,435,0.808
436,,436,0.8209
437,,437,0.8373
438,,438,0.8478
439,,439,0.8569
440,,440,0.8698
441,,441,0.8966
442,,442,0.9129
443,,443,0.9132
444,,444,0.9274
445,,445,0.9437
446,,446,0.9437
447,,447,0.9508
448,,448,0.9585
449,,449,0.9662
450,,450,0.9632
451,,451,0.9701
452,,452,0.9748
453,,453,0.9781
454,,454,0.9927
455,,455,0.9883
456,,456,0.993
457,,457,0.9957
458,,458,0.9879
459,,459,0.9932
460,,460,0.9941
461,,461,1
462,,462,0.9913
463,,463,0.9989
464,,464,0.9981
465,,465,0.9883
466,,466,0.991
467,,467,0.9799
468,,468,0.9816
469,,469,0.9716
470,,470,0.9698
471,,471,0.9613
472,,472,0.9528
473,,473,0.9427
474,,474,0.9306
475,,475,0.924
476,,476,0.9139
477,,477,0.9077
478,,478,0.9113
479,,479,0.901
480,,480,0.8937
481,,481,0.8726
482,,482,0.8656
483,,483,0.8416
484,,484,0.8347
485,,485,0.8239
486,,486,0.8164
487,,487,0.8026
488,,488,0.7912
489,,489,0.7824
490,,490,0.7807
491,,491,0.7708
492,,492,0.7509
493,,493,0.7397
494,,494,0.7307
495,,495,0.7198
496,,496,0.7069
497,,497,0.6911
498,,498,0.6862
499,,499,0.6759
500,,500,0.6675
501,,501,0.6481
502,,502,0.6467
503,,503,0.6325
504,,504,0.618
505,,505,0.6099
506,,506,0.61
507,,507,0.593
508,,508,0.5807
509,,509,0.5752
510,,510,0.558
511,,511,0.5504
512,,512,0.5383
513,,513,0.5309
514,,514,0.519
515,,515,0.5107
516,,516,0.5024
517,,517,0.488
518,,518,0.4807
519,,519,0.4725
520,,520,0.4587
521,,521,0.4538
522,,522,0.4434
523,,523,0.4291
524,,524,0.4213
525,,525,0.4141
526,,526,0.4082
527,,527,0.3972
528,,528,0.3914
529,,529,0.3818
530,,530,0.3726
531,,531,0.3679
532,,532,0.3556
533,,533,0.3476
534,,534,0.3383
535,,535,0.3319
536,,536,0.3236
537,,537,0.3167
538,,538,0.3127
539,,539,0.3024
540,,540,0.2993
541,,541,0.2905
542,,542,0.2868
543,,543,0.2759
544,,544,0.2709
545,,545,0.2654
546,,546,0.2582
547,,547,0.2499
548,,548,0.2481
549,,549,0.2377
550,,550,0.2349
551,,551,0.2301
552,,552,0.2252
553,,553,0.2203
554,,554,0.2131
555,,555,0.2082
556,,556,0.2033
557,,557,0.1996
558,,558,0.1921
559,,559,0.1895
560,,560,0.1836
561,,561,0.18
562,,562,0.1758
563,,563,0.1708
564,,564,0.1683
565,,565,0.1632
566,,566,0.1584
567,,567,0.1575
568,,568,0.1515
569,,569,0.1487
570,,570,0.1439
571,,571,0.1393
572,,572,0.134
573,,573,0.1318
574,,574,0.1293
575,,575,0.1244
576,,576,0.124
577,,577,0.12
578,,578,0.1169
579,,579,0.1128
580,,580,0.1096
581,,581,0.1082
582,,582,0.1032
583,,583,0.0991
584,,584,0.0959
585,,585,0.0962
586,,586,0.0916
587,,587,0.0902
588,,588,0.0866
589,,589,0.0835
590,,590,0.0822
591,,591,0.0808
592,,592,0.0775
593,,593,0.0757
594,,594,0.0706
595,,595,0.0725
596,,596,0.0688
597,,597,0.0674
598,,598,0.0651
599,,599,0.0632
