Exitation wavelength (nm),normalized Exitation,emission wavelength (nm),Normalized emission
300,0.0531,480,0.0252
301,0.0471,481,0.0134
302,0.0412,482,0.0046
303,0.0377,483,0.002
304,0.0348,484,0.0014
305,0.032,485,0.0014
306,0.0303,486,0.0013
307,0.0287,487,0.0012
308,0.0274,488,0.0012
309,0.0265,489,0.0012
310,0.0257,490,0.0012
311,0.0252,491,0.0015
312,0.0247,492,0.0014
313,0.0243,493,0.0015
314,0.024,494,0.0017
315,0.0238,495,0.0017
316,0.0236,496,0.0019
317,0.0235,497,0.0019
318,0.0233,498,0.0019
319,0.0231,499,0.0022
320,0.0228,500,0.0021
321,0.0227,501,0.0025
322,0.0226,502,0.0028
323,0.0223,503,0.003
324,0.0221,504,0.0033
325,0.022,505,0.0041
326,0.0219,506,0.0047
327,0.0218,507,0.0054
328,0.0217,508,0.0061
329,0.0215,509,0.0073
330,0.0212,510,0.0086
331,0.0212,511,0.0106
332,0.021,512,0.0122
333,0.0208,513,0.015
334,0.0205,514,0.0185
335,0.02,515,0.022
336,0.02,516,0.027
337,0.0196,517,0.0322
338,0.0191,518,0.0396
339,0.0185,519,0.0485
340,0.0179,520,0.0609
341,0.0174,521,0.0775
342,0.0169,522,0.0971
343,0.0161,523,0.1242
344,0.0156,524,0.1503
345,0.0152,525,0.1818
346,0.0147,526,0.2188
347,0.014,527,0.2581
348,0.0137,528,0.3048
349,0.0135,529,0.3558
350,0.0131,530,0.4101
351,0.0128,531,0.4632
352,0.0125,532,0.5237
353,0.0122,533,0.5834
354,0.0117,534,0.6414
355,0.0112,535,0.6962
356,0.0106,536,0.7495
357,0.0101,537,0.8048
358,0.0097,538,0.85
359,0.0092,539,0.8941
360,0.0088,540,0.9277
361,0.0084,541,0.955
362,0.0081,542,0.9791
363,0.0078,543,0.9925
364,0.0075,544,1
365,0.007,545,0.9976
366,0.0068,546,0.9844
367,0.0066,547,0.9749
368,0.0064,548,0.9535
369,0.0062,549,0.9288
370,0.0061,550,0.9017
371,0.0058,551,0.8745
372,0.0057,552,0.8414
373,0.0056,553,0.8052
374,0.0054,554,0.766
375,0.0054,555,0.7345
376,0.0052,556,0.697
377,0.005,557,0.662
378,0.0047,558,0.6224
379,0.0044,559,0.5906
380,0.0041,560,0.5553
381,0.0039,561,0.5304
382,0.0037,562,0.5003
383,0.0036,563,0.4794
384,0.0035,564,0.4528
385,0.0033,565,0.4322
386,0.003,566,0.4136
387,0.0029,567,0.3976
388,0.0028,568,0.3801
389,0.0026,569,0.3664
390,0.0026,570,0.3531
391,0.0026,571,0.3438
392,0.0024,572,0.3343
393,0.0023,573,0.3244
394,0.0022,574,0.3165
395,0.0022,575,0.3068
396,0.0022,576,0.3
397,0.0022,577,0.297
398,0.002,578,0.295
399,0.002,579,0.2866
400,0.002,580,0.2847
401,0.002,581,0.2769
402,0.002,582,0.2721
403,0.0019,583,0.2699
404,0.0019,584,0.266
405,0.002,585,0.2606
406,0.002,586,0.2577
407,0.002,587,0.249
408,0.0019,588,0.2438
409,0.0019,589,0.2375
410,0.0019,590,0.2316
411,0.0019,591,0.2279
412,0.0019,592,0.2182
413,0.0019,593,0.2115
414,0.0018,594,0.2052
415,0.0019,595,0.1978
416,0.002,596,0.192
417,0.002,597,0.1849
418,0.0021,598,0.1758
419,0.0023,599,0.171
420,0.0024,600,0.1632
421,0.0024,601,0.156
422,0.0025,602,0.1492
423,0.0026,603,0.1404
424,0.0027,604,0.1356
425,0.0028,605,0.127
426,0.0029,606,0.1204
427,0.0031,607,0.1149
428,0.0032,608,0.1078
429,0.0034,609,0.1016
430,0.0035,610,0.0973
431,0.0038,611,0.0917
432,0.0038,612,0.0864
433,0.0041,613,0.0821
434,0.0044,614,0.079
435,0.0046,615,0.0756
436,0.0048,616,0.0723
437,0.0052,617,0.0704
438,0.0054,618,0.0681
439,0.0057,619,0.0653
440,0.006,620,0.0635
441,0.0064,621,0.0605
442,0.0066,622,0.0588
443,0.0072,623,0.0559
444,0.0076,624,0.0542
445,0.008,625,0.0542
446,0.0087,626,0.0512
447,0.0092,627,0.0485
448,0.0098,628,0.0464
449,0.0106,629,0.0464
450,0.0112,630,0.045
451,0.012,631,0.0432
452,0.0128,632,0.0418
453,0.0137,633,0.0412
454,0.0147,634,0.0395
455,0.0159,635,0.0386
456,0.0168,636,0.0379
457,0.018,637,0.0371
458,0.0195,638,0.0357
459,0.0207,639,0.0352
460,0.0219,640,0.0335
461,0.0234,641,0.0338
462,0.0247,642,0.0319
463,0.0259,643,0.0307
464,0.0274,644,0.0311
465,0.0286,645,0.0297
466,0.0298,646,0.0294
467,0.0314,647,0.0271
468,0.0325,648,0.0273
469,0.0338,649,0.0259
470,0.0354,650,0.0254
471,0.0367,651,0.025
472,0.0382,652,0.0247
473,0.0402,653,0.0225
474,0.0421,654,0.0225
475,0.0442,655,0.0218
476,0.0471,656,0.0207
477,0.0496,657,0.0205
478,0.0525,658,0.0201
479,0.0565,659,0.0192
480,0.06,660,0.0187
481,0.0637,661,0.0179
482,0.0689,662,0.0178
483,0.0732,663,0.0164
484,0.0778,664,0.0163
485,0.084,665,0.0168
486,0.0892,666,0.0159
487,0.0947,667,0.0152
488,0.102,668,0.0143
489,0.108,669,0.0143
490,0.114,670,0.0134
491,0.1217,671,0.0134
492,0.1276,672,0.0131
493,0.1331,673,0.0121
494,0.1394,674,0.0119
495,0.1438,675,0.0117
496,0.1471,,
497,0.1504,,
498,0.1521,,
499,0.1531,,
500,0.1536,,
501,0.1533,,
502,0.1528,,
503,0.1522,,
504,0.1518,,
505,0.1519,,
506,0.1528,,
507,0.1543,,
508,0.1567,,
509,0.1612,,
510,0.1659,,
511,0.1714,,
512,0.1797,,
513,0.1872,,
514,0.1951,,
515,0.2065,,
516,0.2165,,
517,0.2266,,
518,0.2415,,
519,0.255,,
520,0.269,,
521,0.29,,
522,0.3077,,
523,0.3258,,
524,0.3508,,
525,0.3696,,
526,0.3863,,
527,0.4049,,
528,0.4149,,
529,0.4204,,
530,0.4207,,
531,0.4153,,
532,0.4058,,
533,0.3873,,
534,0.3694,,
535,0.3497,,
536,0.3202,,
537,0.2974,,
538,0.2742,,
539,0.2424,,
540,0.2201,,
541,0.1988,,
542,0.1715,,
543,0.1531,,
544,0.1359,,
545,0.1144,,
546,0.1002,,
547,0.0872,,
548,0.0715,,
549,0.0615,,
550,0.0528,,
551,0.0424,,
552,0.0361,,
553,0.0308,,
554,0.0247,,
555,0.021,,
556,0.0179,,
557,0.0145,,
558,0.0124,,
559,0.0106,,
560,0.0087,,
561,0.0075,,
562,0.0065,,
563,0.0054,,
564,0.0048,,
565,0.0043,,
566,0.0037,,
567,0.0034,,
568,0.003,,
569,0.0026,,
570,0.0024,,
571,0.0022,,
572,0.0019,,
573,0.0017,,
574,0.0015,,
575,0.0013,,
576,0.0012,,
577,0.0011,,
578,0.0009,,
579,0.0008,,
580,0.0007,,
581,0.0007,,
582,0.0006,,
583,0.0006,,
584,0.0006,,
585,0.0006,,
586,0.0006,,
587,0.0007,,
588,0.0007,,
589,0.0007,,
590,0.0006,,
591,0.0006,,
592,0.0004,,
593,0.0004,,
594,0.0003,,
595,0.0003,,
596,0.0003,,
597,0.0003,,
598,0.0002,,
599,0.0001,,
